start_key,end_key,ordinal,isPrimary
XI-LEI-335800KCNMKXQFPJ5Q28,IN-MCA|L23200MH1979PLC021359,1,false
XI-LEI-6HF6UF5XUDTS104QCS33,XI-LEI|6HF6UF5XUDTS104QCS33,0,true
XI-LEI-6HF6UF5XUDTS104QCS33,GB-COH|00446915,1,false
XI-LEI-5493008CHX3FW76KG908,XI-LEI|5493008CHX3FW76KG908,0,true
XI-LEI-549300AGC7BAI04R6015,XI-LEI|549300AGC7BAI04R6015,0,true
XI-LEI-549300AGC7BAI04R6015,US-SAM|4244298,1,false
XI-LEI-549300UMEO4KHSEGTG58,XI-LEI|549300UMEO4KHSEGTG58,0,true
XI-LEI-549300UMEO4KHSEGTG58,GB-COH|08298838,1,false
XI-LEI-549300P807JHWY1X1063,XI-LEI|549300P807JHWY1X1063,0,true
XI-LEI-549300KWC0CKSSHUZ327,XI-LEI|549300KWC0CKSSHUZ327,0,true
XI-LEI-549300KWC0CKSSHUZ327,GB-COH|00140132,1,false
XI-LEI-549300LCKI6BWPCJGX28,XI-LEI|549300LCKI6BWPCJGX28,0,true
XI-LEI-549300LCKI6BWPCJGX28,GB-COH|12825643,1,false
XI-LEI-549300LH9YXVHGYN6V32,XI-LEI|549300LH9YXVHGYN6V32,0,true
XI-LEI-549300LH9YXVHGYN6V32,GB-COH|00908982,1,false
XI-LEI-549300MOF13GKBNRVV53,XI-LEI|549300MOF13GKBNRVV53,0,true
XI-LEI-549300MOF13GKBNRVV53,GB-COH|00871912,1,false
XI-LEI-549300NCTSINOQUCE407,XI-LEI|549300NCTSINOQUCE407,0,true
XI-LEI-549300NCTSINOQUCE407,NL-KVK|72399104,1,false
XI-LEI-549300X4LGFEE4L28815,XI-LEI|549300X4LGFEE4L28815,0,true
XI-LEI-549300X4LGFEE4L28815,LU-RCS|B45782,1,false
XI-LEI-549300XDLZSTRWVYDS48,XI-LEI|549300XDLZSTRWVYDS48,0,true
XI-LEI-549300XDLZSTRWVYDS48,US-SAM|249359,1,false
XI-LEI-549300XJERYFRMOP7O39,XI-LEI|549300XJERYFRMOP7O39,0,true
XI-LEI-549300XJERYFRMOP7O39,ES-RMC|CS-32548-8,1,false
XI-LEI-549300YF2JG5OMW7UO84,XI-LEI|549300YF2JG5OMW7UO84,0,true
XI-LEI-549300YF2JG5OMW7UO84,SE-ON|556081-6604,1,false
XI-LEI-549300YG7WG1HR9KGW98,XI-LEI|549300YG7WG1HR9KGW98,0,true
XI-LEI-549300YG7WG1HR9KGW98,GB-COH|00322365,1,false
XI-LEI-549300YYMNSW7KWZH127,XI-LEI|549300YYMNSW7KWZH127,0,true
XI-LEI-549300YYMNSW7KWZH127,US-SAM|D00045773,1,false
XI-LEI-549300ZDBUCTRBOPM023,XI-LEI|549300ZDBUCTRBOPM023,0,true
XI-LEI-549300ZDBUCTRBOPM023,GB-COH|01378710,1,false
XI-LEI-549300ZNXYELB31FP503,XI-LEI|549300ZNXYELB31FP503,0,true
XI-LEI-549300ZNXYELB31FP503,AU-ABN|004 085 616,1,false
XI-LEI-549300ZPID4GQRDWI318,XI-LEI|549300ZPID4GQRDWI318,0,true
XI-LEI-549300ZPID4GQRDWI318,DE-CR|HRB 113611,1,false
XI-LEI-25490009TXBCEMN3UI89,XI-LEI|25490009TXBCEMN3UI89,0,true
XI-LEI-25490009TXBCEMN3UI89,GB-COH|06720009,1,false
XI-LEI-54930066OLMECXUIIT95,XI-LEI|54930066OLMECXUIIT95,0,true
XI-LEI-54930066OLMECXUIIT95,GB-COH|00305943,1,false
XI-LEI-5493006US8Z88WK9IL47,XI-LEI|5493006US8Z88WK9IL47,0,true
XI-LEI-5493006US8Z88WK9IL47,US-SAM|2222036,1,false
XI-LEI-5493008GLWHKEO68CL13,XI-LEI|5493008GLWHKEO68CL13,0,true
XI-LEI-5493008GLWHKEO68CL13,GB-COH|00404347,1,false
XI-LEI-5493008ZYIONF7JPJL24,XI-LEI|5493008ZYIONF7JPJL24,0,true
XI-LEI-5493008ZYIONF7JPJL24,CA-CC|3268803,1,false
XI-LEI-254900SRY9AX0V405Q73,XI-LEI|254900SRY9AX0V405Q73,0,true
XI-LEI-254900SRY9AX0V405Q73,US-SAM|0803235499,1,false
XI-LEI-549300HJ840SLKBDOS06,XI-LEI|549300HJ840SLKBDOS06,0,true
XI-LEI-549300HJ840SLKBDOS06,AU-ABN|102 991 551,1,false
XI-LEI-254900P4JT9YH6JH0I36,XI-LEI|254900P4JT9YH6JH0I36,0,true
XI-LEI-254900P4JT9YH6JH0I36,US-SAM|0803377526,1,false
XI-LEI-5493000BRX9RNZNUOV28,XI-LEI|5493000BRX9RNZNUOV28,0,true
XI-LEI-5493000BRX9RNZNUOV28,GB-COH|10867355,1,false
XI-LEI-549300MZ0FTF0W5N3I14,XI-LEI|549300MZ0FTF0W5N3I14,0,true
XI-LEI-549300MZ0FTF0W5N3I14,US-SAM|3439552,1,false
XI-LEI-549300IW34FEHHXMF980,XI-LEI|549300IW34FEHHXMF980,0,true
XI-LEI-549300IW34FEHHXMF980,GB-COH|00097216,1,false
XI-LEI-549300MG5Q5VOTHPK831,XI-LEI|549300MG5Q5VOTHPK831,0,true
XI-LEI-549300MG5Q5VOTHPK831,US-SAM|2076758,1,false
XI-LEI-54930021X63HYEU9MP82,XI-LEI|54930021X63HYEU9MP82,0,true
XI-LEI-54930021X63HYEU9MP82,US-SAM|1998110694,1,false
XI-LEI-549300H667FIK5PZPV54,XI-LEI|549300H667FIK5PZPV54,0,true
XI-LEI-549300H667FIK5PZPV54,IN-MCA|F03031,1,false
XI-LEI-549300I2A60VQH7OB113,XI-LEI|549300I2A60VQH7OB113,0,true
XI-LEI-549300I2A60VQH7OB113,US-SAM|2053223,1,false
XI-LEI-25490089CK3WJ7YXI372,XI-LEI|25490089CK3WJ7YXI372,0,true
XI-LEI-25490089CK3WJ7YXI372,US-SAM|0803235415,1,false
XI-LEI-549300KRU5NMN907SV73,XI-LEI|549300KRU5NMN907SV73,0,true
XI-LEI-549300KRU5NMN907SV73,NL-KVK|24178415,1,false
XI-LEI-5493009NTB34VXE1T760,XI-LEI|5493009NTB34VXE1T760,0,true
